Rank,Team,Points,Conference,Change,Year,Season,Gender,Division,Description
68.0,CALIFORNIA,2.0,Pac-12,NR,2015,Outdoor Track,Men,I,FINAL - June 13th
68.0,MONTANA STATE,2.0,Big Sky,NR,2015,Outdoor Track,Men,I,FINAL - June 13th
68.0,NORTH DAKOTA STATE,2.0,Summit League,NR,2015,Outdoor Track,Men,I,FINAL - June 13th
68.0,SOUTH DAKOTA,2.0,Summit League,NR,2015,Outdoor Track,Men,I,FINAL - June 13th
68.0,NORTH CAROLINA,2.0,ACC,▼13(LW: 55),2015,Outdoor Track,Men,I,FINAL - June 13th
74.0,CORNELL,1.0,Ivy League,▼43(LW: 31),2015,Outdoor Track,Men,I,FINAL - June 13th
74.0,WESTERN KENTUCKY,1.0,Conference USA,▼56(LW: 18),2015,Outdoor Track,Men,I,FINAL - June 13th
74.0,WISCONSIN,1.0,Big Ten,▼65(LW: 9),2015,Outdoor Track,Men,I,FINAL - June 13th
74.0,PITTSBURGH,1.0,ACC,▼30(LW: 44),2015,Outdoor Track,Men,I,FINAL - June 13th
74.0,UT ARLINGTON,1.0,Sun Belt,▼19(LW: 55),2015,Outdoor Track,Men,I,FINAL - June 13th
74.0,CONNECTICUT,1.0,American,▼10(LW: 64),2015,Outdoor Track,Men,I,FINAL - June 13th
74.0,SAVANNAH STATE,1.0,MEAC,NR,2015,Outdoor Track,Men,I,FINAL - June 13th
74.0,RICE,1.0,Conference USA,▼15(LW: 59),2015,Outdoor Track,Men,I,FINAL - June 13th
1.0,OREGON,59.0,Pac-12,▲2(LW: 3),2015,Outdoor Track,Women,I,FINAL - June 13th
2.0,KENTUCKY,50.0,SEC,▲5(LW: 7),2015,Outdoor Track,Women,I,FINAL - June 13th
3.0,TEXAS A&M,47.0,SEC,▼2(LW: 1),2015,Outdoor Track,Women,I,FINAL - June 13th
4.0,ARKANSAS,43.5,SEC,▲5(LW: 9),2015,Outdoor Track,Women,I,FINAL - June 13th
5.0,GEORGIA,41.0,SEC,◀▶(LW: 5),2015,Outdoor Track,Women,I,FINAL - June 13th
6.0,FLORIDA STATE,35.0,ACC,▲10(LW: 16),2015,Outdoor Track,Women,I,FINAL - June 13th
7.0,SOUTHERN CALIFORNIA,34.0,Pac-12,▲9(LW: 16),2015,Outdoor Track,Women,I,FINAL - June 13th
8.0,FLORIDA,32.0,SEC,▼4(LW: 4),2015,Outdoor Track,Women,I,FINAL - June 13th
9.0,TEXAS,28.0,Big 12,▼7(LW: 2),2015,Outdoor Track,Women,I,FINAL - June 13th
9.0,KANSAS STATE,28.0,Big 12,▲10(LW: 19),2015,Outdoor Track,Women,I,FINAL - June 13th
11.0,LSU,26.0,SEC,▼5(LW: 6),2015,Outdoor Track,Women,I,FINAL - June 13th
12.0,SOUTHERN ILLINOIS,20.0,Missouri Valley,NR,2015,Outdoor Track,Women,I,FINAL - June 13th
13.0,STANFORD,18.0,Pac-12,▼2(LW: 11),2015,Outdoor Track,Women,I,FINAL - June 13th
13.0,NOTRE DAME,18.0,ACC,▲19(LW: 32),2015,Outdoor Track,Women,I,FINAL - June 13th
15.0,OKLAHOMA,16.0,Big 12,▲17(LW: 32),2015,Outdoor Track,Women,I,FINAL - June 13th
15.0,WISCONSIN,16.0,Big Ten,NR,2015,Outdoor Track,Women,I,FINAL - June 13th
15.0,VIRGINIA TECH,16.0,ACC,▲17(LW: 32),2015,Outdoor Track,Women,I,FINAL - June 13th
18.0,MISSISSIPPI STATE,15.0,SEC,NR,2015,Outdoor Track,Women,I,FINAL - June 13th
19.0,MICHIGAN,14.0,Big Ten,▲18(LW: 37),2015,Outdoor Track,Women,I,FINAL - June 13th
20.0,TEXAS TECH,10.0,Big 12,▲31(LW: 51),2015,Outdoor Track,Women,I,FINAL - June 13th
20.0,PURDUE,10.0,Big Ten,▲27(LW: 47),2015,Outdoor Track,Women,I,FINAL - June 13th
20.0,PROVIDENCE,10.0,Big East,NR,2015,Outdoor Track,Women,I,FINAL - June 13th
20.0,ALABAMA,10.0,SEC,▼2(LW: 18),2015,Outdoor Track,Women,I,FINAL - June 13th
20.0,SOUTH CAROLINA,10.0,SEC,NR,2015,Outdoor Track,Women,I,FINAL - June 13th
20.0,MICHIGAN STATE,10.0,Big Ten,▲2(LW: 22),2015,Outdoor Track,Women,I,FINAL - June 13th
20.0,STEPHEN F. AUSTIN,10.0,Southland,NR,2015,Outdoor Track,Women,I,FINAL - June 13th
20.0,ARIZONA STATE,10.0,Pac-12,▲2(LW: 22),2015,Outdoor Track,Women,I,FINAL - June 13th
28.0,AUBURN,8.0,SEC,NR,2015,Outdoor Track,Women,I,FINAL - June 13th
28.0,MIAMI (FLA.),8.0,ACC,▲26(LW: 54),2015,Outdoor Track,Women,I,FINAL - June 13th
28.0,KANSAS CITY,8.0,WAC,NR,2015,Outdoor Track,Women,I,FINAL - June 13th
28.0,PRINCETON,8.0,Ivy League,▼6(LW: 22),2015,Outdoor Track,Women,I,FINAL - June 13th
32.0,MINNESOTA,7.0,Big Ten,NR,2015,Outdoor Track,Women,I,FINAL - June 13th
32.0,AKRON,7.0,Mid-American,▼22(LW: 10),2015,Outdoor Track,Women,I,FINAL - June 13th
32.0,KANSAS,7.0,Big 12,▲10(LW: 42),2015,Outdoor Track,Women,I,FINAL - June 13th
35.0,LOUISVILLE,6.0,ACC,NR,2015,Outdoor Track,Women,I,FINAL - June 13th
35.0,OKLAHOMA STATE,6.0,Big 12,NR,2015,Outdoor Track,Women,I,FINAL - June 13th
35.0,BOWLING GREEN,6.0,Mid-American,▲2(LW: 37),2015,Outdoor Track,Women,I,FINAL - June 13th
35.0,COLORADO,6.0,Pac-12,▼16(LW: 19),2015,Outdoor Track,Women,I,FINAL - June 13th
35.0,ILLINOIS,6.0,Big Ten,NR,2015,Outdoor Track,Women,I,FINAL - June 13th
35.0,VANDERBILT,6.0,SEC,NR,2015,Outdoor Track,Women,I,FINAL - June 13th
35.0,WILLIAM & MARY,6.0,Colonial,▲12(LW: 47),2015,Outdoor Track,Women,I,FINAL - June 13th
42.0,BOISE STATE,5.0,Mountain West,▼34(LW: 8),2015,Outdoor Track,Women,I,FINAL - June 13th
42.0,NORTH DAKOTA STATE,5.0,Summit League,NR,2015,Outdoor Track,Women,I,FINAL - June 13th
42.0,COLUMBIA,5.0,Ivy League,NR,2015,Outdoor Track,Women,I,FINAL - June 13th
42.0,IONA,5.0,Metro Atlantic,▲17(LW: 59),2015,Outdoor Track,Women,I,FINAL - June 13th
42.0,INDIANA STATE,5.0,Missouri Valley,▲9(LW: 51),2015,Outdoor Track,Women,I,FINAL - June 13th
42.0,WASHINGTON,5.0,Pac-12,NR,2015,Outdoor Track,Women,I,FINAL - June 13th
48.0,HARVARD,4.0,Ivy League,NR,2015,Outdoor Track,Women,I,FINAL - June 13th
48.0,UC DAVIS,4.0,Big West,NR,2015,Outdoor Track,Women,I,FINAL - June 13th
48.0,NEW MEXICO,4.0,Mountain West,NR,2015,Outdoor Track,Women,I,FINAL - June 13th
51.0,BYU,3.0,Independent,NR,2015,Outdoor Track,Women,I,FINAL - June 13th
51.0,VILLANOVA,3.0,Big East,▼9(LW: 42),2015,Outdoor Track,Women,I,FINAL - June 13th
51.0,TENNESSEE,3.0,SEC,▲8(LW: 59),2015,Outdoor Track,Women,I,FINAL - June 13th
51.0,CLEMSON,3.0,ACC,NR,2015,Outdoor Track,Women,I,FINAL - June 13th
51.0,ARIZONA,3.0,Pac-12,▼29(LW: 22),2015,Outdoor Track,Women,I,FINAL - June 13th
51.0,IOWA STATE,3.0,Big 12,▼36(LW: 15),2015,Outdoor Track,Women,I,FINAL - June 13th
51.0,MISSOURI,3.0,SEC,▼21(LW: 30),2015,Outdoor Track,Women,I,FINAL - June 13th
51.0,BAYLOR,3.0,Big 12,▼37(LW: 14),2015,Outdoor Track,Women,I,FINAL - June 13th
59.0,NEW HAMPSHIRE,2.0,America East,NR,2015,Outdoor Track,Women,I,FINAL - June 13th
59.0,WAKE FOREST,2.0,ACC,NR,2015,Outdoor Track,Women,I,FINAL - June 13th
59.0,TEXAS STATE,2.0,Sun Belt,NR,2015,Outdoor Track,Women,I,FINAL - June 13th
59.0,NORTH CAROLINA,2.0,ACC,◀▶(LW: 59),2015,Outdoor Track,Women,I,FINAL - June 13th
59.0,ILLINOIS STATE,2.0,Missouri Valley,NR,2015,Outdoor Track,Women,I,FINAL - June 13th
59.0,SYRACUSE,2.0,ACC,▼5(LW: 54),2015,Outdoor Track,Women,I,FINAL - June 13th
59.0,OLE MISS,2.0,SEC,NR,2015,Outdoor Track,Women,I,FINAL - June 13th
66.0,NEBRASKA,1.5,Big Ten,▼47(LW: 19),2015,Outdoor Track,Women,I,FINAL - June 13th
66.0,CINCINNATI,1.5,American,NR,2015,Outdoor Track,Women,I,FINAL - June 13th
68.0,BOSTON COLLEGE,1.0,ACC,NR,2015,Outdoor Track,Women,I,FINAL - June 13th
68.0,RICE,1.0,Conference USA,NR,2015,Outdoor Track,Women,I,FINAL - June 13th
68.0,WICHITA STATE,1.0,Missouri Valley,NR,2015,Outdoor Track,Women,I,FINAL - June 13th
68.0,VCU,1.0,Atlantic 10,▼9(LW: 59),2015,Outdoor Track,Women,I,FINAL - June 13th
1.0,OREGON,88.0,Pac-12,▲3(LW: 4),2014,Outdoor Track,Men,I,FINAL - June 14th
2.0,FLORIDA,70.0,SEC,▼1(LW: 1),2014,Outdoor Track,Men,I,FINAL - June 14th
3.0,TEXAS A&M,41.5,SEC,▼2(LW: 1),2014,Outdoor Track,Men,I,FINAL - June 14th
4.0,SOUTHERN CALIFORNIA,29.0,Pac-12,▲1(LW: 5),2014,Outdoor Track,Men,I,FINAL - June 14th
4.0,LSU,29.0,SEC,▲3(LW: 7),2014,Outdoor Track,Men,I,FINAL - June 14th
6.0,GEORGIA,24.0,SEC,▲43(LW: 49),2014,Outdoor Track,Men,I,FINAL - June 14th
7.0,ARIZONA,23.5,Pac-12,▲3(LW: 10),2014,Outdoor Track,Men,I,FINAL - June 14th
8.0,BAYLOR,21.0,Big 12,▲50(LW: 58),2014,Outdoor Track,Men,I,FINAL - June 14th
9.0,ARKANSAS,20.0,SEC,▼6(LW: 3),2014,Outdoor Track,Men,I,FINAL - June 14th
9.0,WISCONSIN,20.0,Big Ten,▲6(LW: 15),2014,Outdoor Track,Men,I,FINAL - June 14th
11.0,TEXAS,19.5,Big 12,▼5(LW: 6),2014,Outdoor Track,Men,I,FINAL - June 14th
12.0,NEBRASKA,19.0,Big Ten,▲3(LW: 15),2014,Outdoor Track,Men,I,FINAL - June 14th
13.0,OKLAHOMA STATE,16.0,Big 12,▲52(LW: 65),2014,Outdoor Track,Men,I,FINAL - June 14th
13.0,ARIZONA STATE,16.0,Pac-12,▲15(LW: 28),2014,Outdoor Track,Men,I,FINAL - June 14th
15.0,ALABAMA,14.0,SEC,▼4(LW: 11),2014,Outdoor Track,Men,I,FINAL - June 14th
15.0,KENTUCKY,14.0,SEC,▲3(LW: 18),2014,Outdoor Track,Men,I,FINAL - June 14th
17.0,MINNESOTA,13.5,Big Ten,▲10(LW: 27),2014,Outdoor Track,Men,I,FINAL - June 14th
18.0,TENNESSEE,12.0,SEC,▲59(LW: 77),2014,Outdoor Track,Men,I,FINAL - June 14th
18.0,WESTERN KENTUCKY,12.0,Sun Belt,▲47(LW: 65),2014,Outdoor Track,Men,I,FINAL - June 14th
20.0,NORTHWESTERN STATE,11.0,Southland,NR,2014,Outdoor Track,Men,I,FINAL - June 14th
20.0,FLORIDA STATE,11.0,ACC,▼11(LW: 9),2014,Outdoor Track,Men,I,FINAL - June 14th
20.0,KANSAS STATE,11.0,Big 12,▲3(LW: 23),2014,Outdoor Track,Men,I,FINAL - June 14th
20.0,AKRON,11.0,Mid-American,▲18(LW: 38),2014,Outdoor Track,Men,I,FINAL - June 14th
24.0,LONG BEACH STATE,10.0,Big West,NR,2014,Outdoor Track,Men,I,FINAL - June 14th
24.0,MISSISSIPPI STATE,10.0,SEC,NR,2014,Outdoor Track,Men,I,FINAL - June 14th
24.0,KENT STATE,10.0,Mid-American,NR,2014,Outdoor Track,Men,I,FINAL - June 14th
24.0,AUBURN,10.0,SEC,▲14(LW: 38),2014,Outdoor Track,Men,I,FINAL - June 14th
24.0,MIDDLE TENNESSEE,10.0,Conference USA,▲11(LW: 35),2014,Outdoor Track,Men,I,FINAL - June 14th
24.0,OLE MISS,10.0,SEC,▼16(LW: 8),2014,Outdoor Track,Men,I,FINAL - June 14th
24.0,UTEP,10.0,Conference USA,◀▶(LW: 24),2014,Outdoor Track,Men,I,FINAL - June 14th
31.0,CORNELL,9.5,Ivy League,▲18(LW: 49),2014,Outdoor Track,Men,I,FINAL - June 14th
32.0,STANFORD,9.0,Pac-12,NR,2014,Outdoor Track,Men,I,FINAL - June 14th
33.0,UTSA,8.0,Conference USA,NR,2014,Outdoor Track,Men,I,FINAL - June 14th
33.0,UCLA,8.0,Pac-12,▼21(LW: 12),2014,Outdoor Track,Men,I,FINAL - June 14th
33.0,KANSAS,8.0,Big 12,▼5(LW: 28),2014,Outdoor Track,Men,I,FINAL - June 14th
36.0,VIRGINIA TECH,7.0,ACC,▼17(LW: 19),2014,Outdoor Track,Men,I,FINAL - June 14th
36.0,VILLANOVA,7.0,Big East,▲29(LW: 65),2014,Outdoor Track,Men,I,FINAL - June 14th
38.0,NAVY,6.0,Patriot,NR,2014,Outdoor Track,Men,I,FINAL - June 14th
38.0,TEXAS TECH,6.0,Big 12,▼14(LW: 24),2014,Outdoor Track,Men,I,FINAL - June 14th
38.0,EASTERN KENTUCKY,6.0,OVC,▲27(LW: 65),2014,Outdoor Track,Men,I,FINAL - June 14th
38.0,LOYOLA-CHICAGO,6.0,Missouri Valley,▲20(LW: 58),2014,Outdoor Track,Men,I,FINAL - June 14th
42.0,SOUTHERN ILLINOIS,5.5,Missouri Valley,▲7(LW: 49),2014,Outdoor Track,Men,I,FINAL - June 14th
42.0,PENN,5.5,Ivy League,▲16(LW: 58),2014,Outdoor Track,Men,I,FINAL - June 14th
44.0,INDIANA STATE,5.0,Missouri Valley,▲21(LW: 65),2014,Outdoor Track,Men,I,FINAL - June 14th
44.0,WASHINGTON,5.0,Pac-12,▼16(LW: 28),2014,Outdoor Track,Men,I,FINAL - June 14th
44.0,NEW MEXICO,5.0,Mountain West,▼16(LW: 28),2014,Outdoor Track,Men,I,FINAL - June 14th
44.0,EASTERN ILLINOIS,5.0,OVC,NR,2014,Outdoor Track,Men,I,FINAL - June 14th
44.0,ROBERT MORRIS,5.0,Northeast,NR,2014,Outdoor Track,Men,I,FINAL - June 14th
44.0,PENN STATE,5.0,Big Ten,▼30(LW: 14),2014,Outdoor Track,Men,I,FINAL - June 14th
44.0,USF,5.0,American,NR,2014,Outdoor Track,Men,I,FINAL - June 14th
44.0,MICHIGAN,5.0,Big Ten,◀▶(LW: 44),2014,Outdoor Track,Men,I,FINAL - June 14th
44.0,SIUE,5.0,OVC,NR,2014,Outdoor Track,Men,I,FINAL - June 14th
44.0,PITTSBURGH,5.0,ACC,▲21(LW: 65),2014,Outdoor Track,Men,I,FINAL - June 14th
44.0,VIRGINIA,5.0,ACC,NR,2014,Outdoor Track,Men,I,FINAL - June 14th
55.0,NORTH CAROLINA,4.0,ACC,NR,2014,Outdoor Track,Men,I,FINAL - June 14th
55.0,UT ARLINGTON,4.0,Sun Belt,▲3(LW: 58),2014,Outdoor Track,Men,I,FINAL - June 14th
55.0,CHARLESTON SOUTHERN,4.0,Big South,NR,2014,Outdoor Track,Men,I,FINAL - June 14th
55.0,OKLAHOMA,4.0,Big 12,▼17(LW: 38),2014,Outdoor Track,Men,I,FINAL - June 14th
59.0,RICE,3.5,Conference USA,NR,2014,Outdoor Track,Men,I,FINAL - June 14th
60.0,EASTERN MICHIGAN,3.0,Mid-American,NR,2014,Outdoor Track,Men,I,FINAL - June 14th
60.0,IOWA,3.0,Big Ten,▼25(LW: 35),2014,Outdoor Track,Men,I,FINAL - June 14th
60.0,RADFORD,3.0,Big South,NR,2014,Outdoor Track,Men,I,FINAL - June 14th
60.0,WYOMING,3.0,Mountain West,NR,2014,Outdoor Track,Men,I,FINAL - June 14th
64.0,STEPHEN F. AUSTIN,2.0,Southland,▲1(LW: 65),2014,Outdoor Track,Men,I,FINAL - June 14th
64.0,NOTRE DAME,2.0,ACC,▼15(LW: 49),2014,Outdoor Track,Men,I,FINAL - June 14th
64.0,SOUTH ALABAMA,2.0,Sun Belt,NR,2014,Outdoor Track,Men,I,FINAL - June 14th
64.0,MILWAUKEE,2.0,Horizon,NR,2014,Outdoor Track,Men,I,FINAL - June 14th
64.0,NORTHERN ARIZONA,2.0,Big Sky,▼26(LW: 38),2014,Outdoor Track,Men,I,FINAL - June 14th
64.0,COLORADO,2.0,Pac-12,▲11(LW: 75),2014,Outdoor Track,Men,I,FINAL - June 14th
64.0,NORTH CAROLINA A&T,2.0,MEAC,NR,2014,Outdoor Track,Men,I,FINAL - June 14th
64.0,CONNECTICUT,2.0,American,NR,2014,Outdoor Track,Men,I,FINAL - June 14th
64.0,RUTGERS,2.0,American,▼15(LW: 49),2014,Outdoor Track,Men,I,FINAL - June 14th
73.0,NEW HAMPSHIRE,1.0,America East,NR,2014,Outdoor Track,Men,I,FINAL - June 14th
73.0,HOUSTON,1.0,American,NR,2014,Outdoor Track,Men,I,FINAL - June 14th
73.0,MISSOURI,1.0,SEC,NR,2014,Outdoor Track,Men,I,FINAL - June 14th
73.0,HAMPTON,1.0,MEAC,NR,2014,Outdoor Track,Men,I,FINAL - June 14th
73.0,COLORADO STATE,1.0,Mountain West,▲2(LW: 75),2014,Outdoor Track,Men,I,FINAL - June 14th
73.0,ILLINOIS STATE,1.0,Missouri Valley,▼45(LW: 28),2014,Outdoor Track,Men,I,FINAL - June 14th
1.0,TEXAS A&M,75.0,SEC,▲1(LW: 2),2014,Outdoor Track,Women,I,FINAL - June 14th
2.0,TEXAS,66.0,Big 12,▲13(LW: 15),2014,Outdoor Track,Women,I,FINAL - June 14th
3.0,OREGON,59.0,Pac-12,◀▶(LW: 3),2014,Outdoor Track,Women,I,FINAL - June 14th
4.0,FLORIDA,55.0,SEC,▲7(LW: 11),2014,Outdoor Track,Women,I,FINAL - June 14th
5.0,GEORGIA,35.0,SEC,▲6(LW: 11),2014,Outdoor Track,Women,I,FINAL - June 14th
6.0,LSU,34.0,SEC,▼2(LW: 4),2014,Outdoor Track,Women,I,FINAL - June 14th
7.0,KENTUCKY,26.0,SEC,NR,2014,Outdoor Track,Women,I,FINAL - June 14th
8.0,BOISE STATE,23.0,Mountain West,▲24(LW: 32),2014,Outdoor Track,Women,I,FINAL - June 14th
9.0,ARKANSAS,21.5,SEC,▼1(LW: 8),2014,Outdoor Track,Women,I,FINAL - June 14th
10.0,AKRON,20.0,Mid-American,▲29(LW: 39),2014,Outdoor Track,Women,I,FINAL - June 14th
11.0,STANFORD,19.0,Pac-12,▼5(LW: 6),2014,Outdoor Track,Women,I,FINAL - June 14th
12.0,SAN DIEGO STATE,18.0,Mountain West,▲11(LW: 23),2014,Outdoor Track,Women,I,FINAL - June 14th
12.0,PENN STATE,18.0,Big Ten,▲17(LW: 29),2014,Outdoor Track,Women,I,FINAL - June 14th
14.0,BAYLOR,17.0,Big 12,NR,2014,Outdoor Track,Women,I,FINAL - June 14th
15.0,IOWA STATE,16.0,Big 12,▼2(LW: 13),2014,Outdoor Track,Women,I,FINAL - June 14th
16.0,FLORIDA STATE,15.0,ACC,▲13(LW: 29),2014,Outdoor Track,Women,I,FINAL - June 14th
16.0,SOUTHERN CALIFORNIA,15.0,Pac-12,▲5(LW: 21),2014,Outdoor Track,Women,I,FINAL - June 14th
18.0,ALABAMA,13.0,SEC,▲27(LW: 45),2014,Outdoor Track,Women,I,FINAL - June 14th
19.0,NEBRASKA,12.0,Big Ten,▲13(LW: 32),2014,Outdoor Track,Women,I,FINAL - June 14th
19.0,KANSAS STATE,12.0,Big 12,NR,2014,Outdoor Track,Women,I,FINAL - June 14th
19.0,COLORADO,12.0,Pac-12,▲6(LW: 25),2014,Outdoor Track,Women,I,FINAL - June 14th
22.0,ARKANSAS STATE,10.0,Sun Belt,▲27(LW: 49),2014,Outdoor Track,Women,I,FINAL - June 14th
22.0,ARIZONA,10.0,Pac-12,▼16(LW: 6),2014,Outdoor Track,Women,I,FINAL - June 14th
22.0,MICHIGAN STATE,10.0,Big Ten,▼4(LW: 18),2014,Outdoor Track,Women,I,FINAL - June 14th
22.0,UAB,10.0,Conference USA,NR,2014,Outdoor Track,Women,I,FINAL - June 14th
22.0,DARTMOUTH,10.0,Ivy League,▲3(LW: 25),2014,Outdoor Track,Women,I,FINAL - June 14th
22.0,PRINCETON,10.0,Ivy League,NR,2014,Outdoor Track,Women,I,FINAL - June 14th
22.0,ARIZONA STATE,10.0,Pac-12,▼12(LW: 10),2014,Outdoor Track,Women,I,FINAL - June 14th
22.0,DUKE,10.0,ACC,▲31(LW: 53),2014,Outdoor Track,Women,I,FINAL - June 14th
30.0,MISSOURI,9.0,SEC,▲6(LW: 36),2014,Outdoor Track,Women,I,FINAL - June 14th
31.0,INDIANA,8.5,Big Ten,▲22(LW: 53),2014,Outdoor Track,Women,I,FINAL - June 14th
32.0,KENT STATE,8.0,Mid-American,▲29(LW: 61),2014,Outdoor Track,Women,I,FINAL - June 14th
32.0,NOTRE DAME,8.0,ACC,▲7(LW: 39),2014,Outdoor Track,Women,I,FINAL - June 14th
32.0,OKLAHOMA,8.0,Big 12,▼11(LW: 21),2014,Outdoor Track,Women,I,FINAL - June 14th
32.0,VIRGINIA TECH,8.0,ACC,▲29(LW: 61),2014,Outdoor Track,Women,I,FINAL - June 14th
36.0,EAST CAROLINA,7.0,Conference USA,NR,2014,Outdoor Track,Women,I,FINAL - June 14th
37.0,MIAMI (OHIO),6.0,Mid-American,NR,2014,Outdoor Track,Women,I,FINAL - June 14th
37.0,MICHIGAN,6.0,Big Ten,▲10(LW: 47),2014,Outdoor Track,Women,I,FINAL - June 14th
37.0,MARYLAND,6.0,ACC,▲24(LW: 61),2014,Outdoor Track,Women,I,FINAL - June 14th
37.0,UCLA,6.0,Pac-12,▼17(LW: 20),2014,Outdoor Track,Women,I,FINAL - June 14th
37.0,BOWLING GREEN,6.0,Mid-American,▲16(LW: 53),2014,Outdoor Track,Women,I,FINAL - June 14th
42.0,KANSAS,5.0,Big 12,▼41(LW: 1),2014,Outdoor Track,Women,I,FINAL - June 14th
42.0,CORNELL,5.0,Ivy League,▼6(LW: 36),2014,Outdoor Track,Women,I,FINAL - June 14th
42.0,VILLANOVA,5.0,Big East,NR,2014,Outdoor Track,Women,I,FINAL - June 14th
42.0,TCU,5.0,Big 12,▼17(LW: 25),2014,Outdoor Track,Women,I,FINAL - June 14th
42.0,NORTHERN IOWA,5.0,Missouri Valley,NR,2014,Outdoor Track,Women,I,FINAL - June 14th
47.0,WILLIAM & MARY,4.0,Colonial,NR,2014,Outdoor Track,Women,I,FINAL - June 14th
47.0,EASTERN MICHIGAN,4.0,Mid-American,NR,2014,Outdoor Track,Women,I,FINAL - June 14th
47.0,PURDUE,4.0,Big Ten,▲14(LW: 61),2014,Outdoor Track,Women,I,FINAL - June 14th
47.0,OHIO STATE,4.0,Big Ten,NR,2014,Outdoor Track,Women,I,FINAL - June 14th
51.0,INDIANA STATE,3.0,Missouri Valley,▼12(LW: 39),2014,Outdoor Track,Women,I,FINAL - June 14th
51.0,TEXAS TECH,3.0,Big 12,▼2(LW: 49),2014,Outdoor Track,Women,I,FINAL - June 14th
51.0,BOSTON UNIVERSITY,3.0,Patriot,▼4(LW: 47),2014,Outdoor Track,Women,I,FINAL - June 14th
54.0,MIAMI (FLA.),2.0,ACC,NR,2014,Outdoor Track,Women,I,FINAL - June 14th
54.0,VIRGINIA,2.0,ACC,NR,2014,Outdoor Track,Women,I,FINAL - June 14th
54.0,MONTANA,2.0,Big Sky,NR,2014,Outdoor Track,Women,I,FINAL - June 14th
54.0,COLORADO STATE,2.0,Mountain West,NR,2014,Outdoor Track,Women,I,FINAL - June 14th
54.0,SYRACUSE,2.0,ACC,▲7(LW: 61),2014,Outdoor Track,Women,I,FINAL - June 14th
59.0,VCU,1.0,Atlantic 10,NR,2014,Outdoor Track,Women,I,FINAL - June 14th
59.0,TENNESSEE,1.0,SEC,NR,2014,Outdoor Track,Women,I,FINAL - June 14th
59.0,IOWA,1.0,Big Ten,NR,2014,Outdoor Track,Women,I,FINAL - June 14th
59.0,WESTERN KENTUCKY,1.0,Sun Belt,▼6(LW: 53),2014,Outdoor Track,Women,I,FINAL - June 14th
59.0,USF,1.0,American,▼27(LW: 32),2014,Outdoor Track,Women,I,FINAL - June 14th
59.0,IONA,1.0,Metro Atlantic,NR,2014,Outdoor Track,Women,I,FINAL - June 14th
59.0,SAN FRANCISCO,1.0,Independent,NR,2014,Outdoor Track,Women,I,FINAL - June 14th
59.0,NORTH CAROLINA,1.0,ACC,NR,2014,Outdoor Track,Women,I,FINAL - June 14th
59.0,WEST VIRGINIA,1.0,Big 12,NR,2014,Outdoor Track,Women,I,FINAL - June 14th
1.0,TEXAS A&M,53.0,SEC,▲2(LW: 3),2013,Outdoor Track,Men,I,FINAL - June 8th
1.0,FLORIDA,53.0,SEC,◀▶(LW: 1),2013,Outdoor Track,Men,I,FINAL - June 8th
3.0,ARKANSAS,46.5,SEC,▲5(LW: 8),2013,Outdoor Track,Men,I,FINAL - June 8th
4.0,OREGON,44.0,Pac-12,▲5(LW: 9),2013,Outdoor Track,Men,I,FINAL - June 8th
5.0,SOUTHERN CALIFORNIA,42.0,Pac-12,▲6(LW: 11),2013,Outdoor Track,Men,I,FINAL - June 8th
6.0,TEXAS,32.0,Big 12,▲3(LW: 9),2013,Outdoor Track,Men,I,FINAL - June 8th
7.0,LSU,27.0,SEC,▼5(LW: 2),2013,Outdoor Track,Men,I,FINAL - June 8th
8.0,OLE MISS,24.0,SEC,▲30(LW: 38),2013,Outdoor Track,Men,I,FINAL - June 8th
9.0,FLORIDA STATE,22.5,ACC,▼5(LW: 4),2013,Outdoor Track,Men,I,FINAL - June 8th
10.0,ARIZONA,20.5,Pac-12,▼3(LW: 7),2013,Outdoor Track,Men,I,FINAL - June 8th
11.0,ALABAMA,20.0,SEC,▲55(LW: 66),2013,Outdoor Track,Men,I,FINAL - June 8th
12.0,UCLA,18.0,Pac-12,▲5(LW: 17),2013,Outdoor Track,Men,I,FINAL - June 8th
12.0,TCU,18.0,Big 12,▲52(LW: 64),2013,Outdoor Track,Men,I,FINAL - June 8th
14.0,PENN STATE,17.0,Big Ten,▲7(LW: 21),2013,Outdoor Track,Men,I,FINAL - June 8th
15.0,WISCONSIN,16.0,Big Ten,▲17(LW: 32),2013,Outdoor Track,Men,I,FINAL - June 8th
15.0,NEBRASKA,16.0,Big Ten,▼4(LW: 11),2013,Outdoor Track,Men,I,FINAL - June 8th
15.0,UNCG,16.0,SoCon,▲18(LW: 33),2013,Outdoor Track,Men,I,FINAL - June 8th
18.0,KENTUCKY,15.0,SEC,▲25(LW: 43),2013,Outdoor Track,Men,I,FINAL - June 8th
19.0,VIRGINIA TECH,14.0,ACC,▼14(LW: 5),2013,Outdoor Track,Men,I,FINAL - June 8th
20.0,ORAL ROBERTS,12.0,Southland,◀▶(LW: 20),2013,Outdoor Track,Men,I,FINAL - June 8th
21.0,INDIANA,11.0,Big Ten,▼10(LW: 11),2013,Outdoor Track,Men,I,FINAL - June 8th
21.0,OHIO STATE,11.0,Big Ten,▲2(LW: 23),2013,Outdoor Track,Men,I,FINAL - June 8th
23.0,KANSAS STATE,10.75,Big 12,◀▶(LW: 23),2013,Outdoor Track,Men,I,FINAL - June 8th
